<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;04.09.2018;1;1067100;1067100;1067000;1067000;2
SPFB.RTS-12.18;1;04.09.2018;1;1066900;1066900;1066600;1066600;6
SPFB.RTS-12.18;1;04.09.2018;1;1066600;1066600;1066600;1066600;1
SPFB.RTS-12.18;1;04.09.2018;1;1066300;1066300;1066300;1066300;1
SPFB.RTS-12.18;1;04.09.2018;1;1065500;1065500;1065500;1065500;1
SPFB.RTS-12.18;1;04.09.2018;1;1065700;1065700;1065700;1065700;5
SPFB.RTS-12.18;1;04.09.2018;1;1065700;1065700;1065700;1065700;1
SPFB.RTS-12.18;1;04.09.2018;1;1066000;1066000;1066000;1066000;2
SPFB.RTS-12.18;1;04.09.2018;1;1066000;1066000;1066000;1066000;7
SPFB.RTS-12.18;1;04.09.2018;1;1066000;1066000;1066000;1066000;1
SPFB.RTS-12.18;1;04.09.2018;1;1065300;1065300;1065300;1065300;2
SPFB.RTS-12.18;1;04.09.2018;1;1065000;1065000;1064900;1064900;2
SPFB.RTS-12.18;1;04.09.2018;1;1064900;1064900;1064900;1064900;1
SPFB.RTS-12.18;1;04.09.2018;1;1064700;1064700;1064700;1064700;1
SPFB.RTS-12.18;1;04.09.2018;1;1064900;1065400;1064900;1065400;4
SPFB.RTS-12.18;1;04.09.2018;1;1064600;1064600;1064600;1064600;1
SPFB.RTS-12.18;1;04.09.2018;1;1064500;1064500;1064500;1064500;1
SPFB.RTS-12.18;1;04.09.2018;1;1064500;1064500;1064500;1064500;1
SPFB.RTS-12.18;1;04.09.2018;1;1064700;1064700;1064700;1064700;1
SPFB.RTS-12.18;1;04.09.2018;1;1064200;1064200;1063400;1063400;11
SPFB.RTS-12.18;1;04.09.2018;1;1063700;1063700;1063700;1063700;1
SPFB.RTS-12.18;1;04.09.2018;1;1063700;1063700;1063700;1063700;1
SPFB.RTS-12.18;1;04.09.2018;1;1065100;1065100;1065100;1065100;1
SPFB.RTS-12.18;1;04.09.2018;1;1065500;1066000;1065500;1066000;4
SPFB.RTS-12.18;1;04.09.2018;1;1065500;1065500;1065500;1065500;4
SPFB.RTS-12.18;1;04.09.2018;1;1066300;1066300;1066300;1066300;5
SPFB.RTS-12.18;1;04.09.2018;1;1066500;1066500;1066500;1066500;6
SPFB.RTS-12.18;1;04.09.2018;1;1066400;1066400;1066400;1066400;5
SPFB.RTS-12.18;1;04.09.2018;1;1066400;1066400;1066400;1066400;5
SPFB.RTS-12.18;1;04.09.2018;1;1066600;1066700;1066600;1066700;17
SPFB.RTS-12.18;1;04.09.2018;1;1067000;1067600;1067000;1067600;2
SPFB.RTS-12.18;1;04.09.2018;1;1066800;1066800;1066800;1066800;1
SPFB.RTS-12.18;1;04.10.2018;0;1178900;1178900;1171400;1172300;6021
SPFB.RTS-12.18;1;04.10.2018;0;1172300;1172400;1168600;1168800;5548
SPFB.RTS-12.18;1;04.10.2018;0;1168800;1171000;1168300;1170100;3546
SPFB.RTS-12.18;1;04.10.2018;0;1170100;1171400;1169100;1170900;2615
SPFB.RTS-12.18;1;04.10.2018;0;1170800;1171600;1170300;1170800;1639
SPFB.RTS-12.18;1;04.10.2018;0;1170600;1171500;1170300;1171100;1344
SPFB.RTS-12.18;1;04.10.2018;0;1171100;1171400;1170400;1170400;1114
SPFB.RTS-12.18;1;04.10.2018;0;1170400;1171200;1170000;1170900;1397
SPFB.RTS-12.18;1;04.10.2018;0;1171100;1171500;1170200;1170700;1574
SPFB.RTS-12.18;1;04.10.2018;0;1170600;1171400;1170200;1171300;1137
SPFB.RTS-12.18;1;04.10.2018;0;1171200;1171700;1170600;1171700;922
SPFB.RTS-12.18;1;04.10.2018;0;1171800;1172600;1171200;1171700;1704
SPFB.RTS-12.18;1;04.10.2018;0;1171800;1173300;1171800;1173100;1262
SPFB.RTS-12.18;1;04.10.2018;0;1173000;1173200;1172200;1172800;708
SPFB.RTS-12.18;1;04.10.2018;0;1172800;1173000;1172000;1173000;757
SPFB.RTS-12.18;1;04.10.2018;0;1173000;1173200;1172200;1172800;1157
SPFB.RTS-12.18;1;04.10.2018;0;1172600;1173000;1172100;1173000;441
SPFB.RTS-12.18;1;04.10.2018;0;1173000;1173200;1172500;1172500;678
SPFB.RTS-12.18;1;04.10.2018;0;1172500;1172900;1171900;1172100;1029
SPFB.RTS-12.18;1;04.10.2018;0;1172300;1173100;1172000;1173000;661
SPFB.RTS-12.18;1;04.10.2018;0;1173000;1173100;1172400;1173100;500
SPFB.RTS-12.18;1;04.10.2018;0;1173100;1174400;1173000;1173500;1783
SPFB.RTS-12.18;1;04.10.2018;0;1173700;1176000;1173700;1175100;2721
SPFB.RTS-12.18;1;04.10.2018;0;1175000;1176000;1175000;1175500;987
SPFB.RTS-12.18;1;04.10.2018;0;1175500;1176800;1175400;1175800;1749
SPFB.RTS-12.18;1;04.10.2018;0;1175800;1175900;1174700;1175000;1284
SPFB.RTS-12.18;1;04.10.2018;0;1174800;1175400;1174600;1174600;1021
SPFB.RTS-12.18;1;04.10.2018;0;1174800;1174800;1173500;1174200;1388
SPFB.RTS-12.18;1;04.10.2018;0;1174100;1174900;1173800;1174300;669
SPFB.RTS-12.18;1;04.10.2018;0;1174200;1174500;1173200;1173800;598
SPFB.RTS-12.18;1;04.10.2018;0;1174000;1174000;1172700;1173100;949
SPFB.RTS-12.18;1;04.10.2018;0;1173000;1173100;1171700;1172700;1428
SPFB.RTS-12.18;1;04.10.2018;0;1172700;1173600;1172400;1173100;800
SPFB.RTS-12.18;1;04.10.2018;0;1173000;1173600;1172900;1173300;326
SPFB.RTS-12.18;1;04.10.2018;0;1173100;1174000;1173100;1173600;607
SPFB.RTS-12.18;1;04.10.2018;0;1173500;1174300;1173500;1173800;574
SPFB.RTS-12.18;1;04.10.2018;0;1173900;1174200;1173500;1174000;387
SPFB.RTS-12.18;1;04.10.2018;0;1174000;1175800;1174000;1175300;1171
SPFB.RTS-12.18;1;04.10.2018;0;1175200;1175700;1174700;1175600;761
SPFB.RTS-12.18;1;04.10.2018;0;1175500;1175900;1175000;1175900;797
SPFB.RTS-12.18;1;04.10.2018;0;1175900;1175900;1174500;1175000;1261
SPFB.RTS-12.18;1;04.10.2018;0;1175100;1176700;1174900;1176000;1386
SPFB.RTS-12.18;1;04.10.2018;0;1175900;1176100;1175500;1176000;466
